What is your dietary type?,What chronic illnesses do you have? ,What specific dietary restrictions do you follow?,Are there specific ingredients that trigger your condition(s) or cause discomfort? ,What are some healthy alternatives/ingredients you include in your diet?,What health goal do you have?
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,Diabetes,low-sugar,Sugar,Jaggery,Blood sugar control
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Non-vegetarian,Obesity,low-sugar,Sugar,Jaggery,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Eggetarian,Obesity,low-sugar,Sugar,Jaggery,Weight maintenance
Eggetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,Diabetes,low-sugar,Sugar,Jaggery,Blood sugar control
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Diabetes,low-sugar,Sugar,Jaggery,Blood sugar control
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Eggetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,None,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,Diabetes,low-sugar,Sugar,Jaggery,Blood sugar control
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Vegetarian,Diabetes,low-sugar,Sugar,Jaggery,Blood sugar control
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Eggetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Eggetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,Diabetes,low-sugar,Sugar,Jaggery,Blood sugar control
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Vegetarian,Diabetes,low-sugar,Sugar,Jaggery,Blood sugar control
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Vegetarian,None,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,Diabetes,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,High blood pressure,"low-salt,low-sugar,low-fat",Salt,Pink salt,Blood pressure control
Vegetarian,Obesity,None,Sugar,Jaggery,Weight maintenance
Vegetarian,None,None,Fats,Canola oil,None
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,High blood pressure,low-salt,Salt,Pink salt,Blood pressure control
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,High blood pressure,low-salt,Salt,Pink salt,Blood pressure control
Vegetarian,None,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,None,low-fat,Fats,Chia seeds,Weight maintenance
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,Diabetes,low-sugar,Sugar,Jaggery,Blood sugar control
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Vegetarian,High blood pressure,low-salt,Salt,Pink salt,Blood pressure control
Vegetarian,Diabetes,low-sugar,Sugar,Jaggery,Blood sugar control
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
